Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
2193,91,11,361.45,3,4,4,344,11,BIG SPENDER
1793,26,10,345.1,4,4,4,444,12,STARS
3289,4,10,334.15,4,4,4,444,12,STARS
2433,3,7,316.81,4,4,4,444,12,STARS
2743,142,7,312.46,2,4,4,244,10,BIG SPENDER
2811,310,6,305.72,1,4,4,144,9,BIG SPENDER
2990,140,9,303.61,3,4,4,344,11,BIG SPENDER
3872,37,10,301.33,4,4,4,444,12,STARS
4753,52,6,301.1,4,4,4,444,12,STARS
2993,239,6,296.96,2,4,4,244,10,BIG SPENDER
4509,31,6,290.74,4,4,4,444,12,STARS
4102,57,6,289.4,4,4,4,444,12,STARS
4437,31,9,285.6,4,4,4,444,12,STARS
1715,179,6,284.89,2,4,4,244,10,BIG SPENDER
1169,380,9,284.8,1,4,4,144,9,BIG SPENDER
1265,88,7,279.99,3,4,4,344,11,BIG SPENDER
2051,46,8,279.4,4,4,4,444,12,STARS
4494,58,9,277.9,3,4,4,344,11,BIG SPENDER
2851,105,9,277.4,3,4,4,344,11,BIG SPENDER
4679,50,7,277.18,4,4,4,444,12,STARS
2210,96,5,271.95,3,3,4,334,10,BIG SPENDER
3245,22,5,271.8,4,3,4,434,11,BIG SPENDER
3593,57,10,268.8,4,4,4,444,12,STARS
1098,48,7,267.62,4,4,4,444,12,STARS
1052,64,10,267.5,3,4,4,344,11,BIG SPENDER
4293,91,7,265.7,3,4,4,344,11,BIG SPENDER
2001,112,7,264.32,3,4,4,344,11,BIG SPENDER
2736,4,7,262.2,4,4,4,444,12,STARS
4624,33,7,260.94,4,4,4,444,12,STARS
2706,88,8,260.9,3,4,4,344,11,BIG SPENDER
2022,161,6,260.7,2,4,4,244,10,BIG SPENDER
4628,20,7,260.6,4,4,4,444,12,STARS
1870,112,8,257.54,3,4,4,344,11,BIG SPENDER
2517,18,9,256.25,4,4,4,444,12,STARS
3014,49,5,256.0,4,3,4,434,11,BIG SPENDER
2632,98,9,254.8,3,4,4,344,11,BIG SPENDER
4302,55,7,254.7,4,4,4,444,12,STARS
4137,4,9,254.04,4,4,4,444,12,STARS
3657,92,8,253.55,3,4,4,344,11,BIG SPENDER
1905,73,9,253.51,3,4,4,344,11,BIG SPENDER
4078,46,6,253.12,4,4,4,444,12,STARS
2918,19,8,252.6,4,4,4,444,12,STARS
3180,72,10,251.45,3,4,4,344,11,BIG SPENDER
3251,4,7,248.12,4,4,4,444,12,STARS
3957,229,7,248.11,2,4,4,244,10,BIG SPENDER
1654,51,9,247.84,4,4,4,444,12,STARS
4303,5,9,245.36,4,4,4,444,12,STARS
